newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
97795,4,2004-09-21,2005-07-04,12.10,66.55,983.95,64.72,996.39,105.76
162086,5,2003-12-29,2004-06-16,18.67,61.59,999.38,59.11,1052.94,152.72
366983,4,2013-01-22,2013-06-19,17.06,49.65,1099.34,47.87,1107.56,134.00
369945,2,2012-02-09,2012-05-31,18.55,55.11,1020.79,52.13,1063.28,144.69
110187,2,2005-01-26,2005-06-23,17.47,55.62,1063.33,51.00,1104.67,117.53
254037,2,2008-11-26,2009-07-15,22.60,67.28,1048.02,60.15,1070.95,116.07
201049,1,2006-12-25,2007-06-11,17.50,66.53,965.03,61.97,1043.85,126.61
292181,2,2011-09-07,2012-05-24,15.30,62.91,986.61,60.49,1013.99,151.90
304159,1,2009-09-28,2010-06-11,12.87,64.13,957.38,56.67,1047.63,172.26
258503,2,2004-10-20,2005-06-25,9.57,58.09,1014.96,56.91,1016.90,116.14
287294,2,2008-02-03,2008-06-20,22.96,52.29,1071.83,54.69,1055.48,126.65
355742,3,2015-02-11,2015-06-13,22.06,53.90,1039.93,52.54,1055.95,109.34
5626,3,2002-10-15,2003-06-13,12.60,68.51,962.74,65.48,971.70,135.07
126048,2,2004-09-19,2005-06-04,15.90,60.37,1049.54,63.26,1016.74,119.84
262597,6,2012-10-02,2013-06-29,19.00,53.36,1090.55,61.44,1030.18,117.26
57325,3,2003-02-22,2003-06-07,19.18,57.02,1047.48,52.51,1104.03,105.01
212751,3,2007-09-27,2008-06-20,12.67,67.23,947.72,64.02,1005.89,95.80
337494,1,2010-11-18,2011-06-02,14.10,56.72,1064.88,56.38,1080.41,91.16
109780,2,2003-11-14,2004-05-27,16.30,64.89,941.47,60.52,1015.12,128.21
384989,2,2014-11-10,2015-06-07,12.60,73.04,879.26,64.70,970.64,152.60
166556,2,2006-10-20,2007-05-31,14.73,61.89,1019.25,63.19,1014.04,155.88
276802,2,2009-10-28,2010-06-10,14.90,68.29,965.41,59.03,1043.63,200.83
